number,year,country,activity,sex,age,fatal_clean,decade,century
62893,2009,SOUTH AFRICA,Fishing,M,59.0,0,2000,21
62894,2009,SOUTH AFRICA,Surfing,M,16.0,1,2000,21
62895,2009,AUSTRALIA,Surfing,M,17.0,0,2000,21
62896,2009,AUSTRALIA,Surfing,M,24.0,0,2000,21
62897,2009,AUSTRALIA,Surfing,F,24.0,0,2000,21
62898,2009,USA,Surfing,F,17.0,0,2000,21
62899,2009,MALAYSIA,Feeding fish,F,24.0,0,2000,21
62900,2009,USA,Swimming,M,61.0,0,2000,21
62901,2009,AUSTRALIA,Wading,M,21.0,0,2000,21
62902,2009,NEW CALEDONIA,Surfing,M,19.0,1,2000,21
62903,2009,SOUTH AFRICA,Fishing,M,40.0,0,2000,21
62904,2009,NEW ZEALAND,Fishing,M,24.0,0,2000,21
62905,2009,AUSTRALIA,Surfing,M,15.0,0,2000,21
62906,2009,AUSTRALIA,Fishing,M,24.0,0,2000,21
62907,2009,AUSTRALIA,Surfing,M,24.0,0,2000,21
62908,2009,AUSTRALIA,Surfing,M,33.0,0,2000,21
62909,2009,AUSTRALIA,"Diving, but on the surface when bitten by the shark",M,31.0,0,2000,21
62910,2009,USA,Air Disaster,M,24.0,1,2000,21
62911,2009,AUSTRALIA,Surfing,M,41.0,0,2000,21
62912,2009,AUSTRALIA,Surfing,M,24.0,0,2000,21
62913,2009,AZORES,Fishing,M,49.0,0,2000,21
62914,2009,BRAZIL,Unknown,M,17.0,0,2000,21
62915,2009,CUBA,Spearfishing,M,15.0,0,2000,21
62916,2009,NEW ZEALAND,Fishing,Unknown,24.0,0,2000,21
62917,2009,AUSTRALIA,Swimming,M,19.0,0,2000,21
62918,2009,SOUTH AFRICA,Swimming,M,25.0,1,2000,21
62919,2009,BRAZIL,Swimming,M,17.0,0,2000,21
62920,2009,AUSTRALIA,Fishing,M,24.0,0,2000,21
62921,2009,NEW ZEALAND,Surfing,M,24.0,0,2000,21
62922,2009,SOUTH AFRICA,Unknown,Unknown,24.0,1,2000,21
62923,2009,AUSTRALIA,Snorkeling,M,24.0,0,2000,21
62924,2009,AUSTRALIA,Surfing,F,13.0,0,2000,21
62925,2009,AUSTRALIA,Surfing,M,31.0,0,2000,21
62926,2009,NEW ZEALAND,Fishing,Unknown,24.0,0,2000,21
62927,2009,ECUADOR,Surfing,M,22.0,0,2000,21
62928,2009,NEW ZEALAND,Swimming,M,49.0,0,2000,21
62929,2009,CUBA,Spearfishing,Unknown,24.0,0,2000,21
62930,2008,AUSTRALIA,Crabbing,Unknown,24.0,0,2000,21
62931,2008,AUSTRALIA,Yacht race,Unknown,24.0,0,2000,21
62932,2008,AUSTRALIA,Boogie Boarding,M,10.0,0,2000,21
62933,2008,AUSTRALIA,Kayaking,M,29.0,0,2000,21
62934,2008,AUSTRALIA,Snorkeling,M,51.0,1,2000,21
62935,2008,USA,Kayaking,M,24.0,0,2000,21
62936,2008,NEW ZEALAND,Fishing,M,24.0,0,2000,21
62937,2008,SOUTH AFRICA,Fishing,M,15.0,0,2000,21
62938,2008,AUSTRALIA,Fishing,Unknown,24.0,0,2000,21
62939,2008,MOZAMBIQUE,Spearfishing,M,24.0,1,2000,21
62940,2008,EGYPT,Scuba diving,F,24.0,0,2000,21
62941,2008,PHILIPPINES,Sinking of the cargo ship Mark Jason,M,24.0,0,2000,21
62942,2008,ECUADOR,Unknown,F,24.0,0,2000,21
62943,2008,AUSTRALIA,Fishing,M,24.0,0,2000,21
62944,2008,TAIWAN,Fishing boat swamped in storm,M,45.0,1,2000,21
62945,2008,PHILIPPINES,Fishing,M,39.0,1,2000,21
62946,2008,AUSTRALIA,Scuba diving,M,34.0,0,2000,21
62947,2008,NEW CALEDONIA,Spearfishing,M,24.0,0,2000,21
62948,2008,AUSTRALIA,Fishing,M,50.0,0,2000,21
62949,2008,AUSTRALIA,Surfing,M,15.0,0,2000,21
62950,2008,USA,Fishing,M,11.0,0,2000,21
62951,2008,CROATIA,Spearfishing,M,43.0,0,2000,21
62952,2008,USA,Surfing,M,44.0,0,2000,21
62953,2008,USA,Surfing,M,40.0,0,2000,21
62954,2008,AUSTRALIA,Swimming,M,43.0,0,2000,21
62955,2008,USA,Swimming,M,32.0,0,2000,21
62956,2008,USA,Surfing,M,40.0,0,2000,21
62957,2008,USA,Surfing,M,24.0,0,2000,21
62958,2008,AUSTRALIA,Surfing,M,51.0,0,2000,21
62959,2008,USA,Surfing,M,43.0,0,2000,21
62960,2008,USA,Surfing,M,15.0,0,2000,21
62961,2008,USA,Surfing,M,52.0,0,2000,21
62962,2008,USA,Surfing,M,24.0,0,2000,21
62963,2008,AUSTRALIA,Surfing,M,29.0,0,2000,21
62964,2008,USA,Swimming,M,27.0,0,2000,21
62965,2008,ENGLAND,Fishing,M,52.0,0,2000,21
62966,2008,USA,Surfing,M,19.0,0,2000,21
62967,2008,USA,Surfing,M,26.0,0,2000,21
62968,2008,USA,"Swimming, towing surfboard",M,20.0,0,2000,21
62969,2008,USA,Surfing,F,20.0,0,2000,21
62970,2008,USA,Swimming,M,47.0,0,2000,21
62971,2008,USA,Unknown,M,7.0,0,2000,21
62972,2008,USA,Treading water,F,38.0,0,2000,21
62973,2008,USA,Wading,F,13.0,0,2000,21
62974,2008,USA,Diving,M,24.0,0,2000,21
62975,2008,AUSTRALIA,Surfing,M,31.0,0,2000,21
62976,2008,SOUTH AFRICA,Unknown,M,24.0,0,2000,21
62977,2008,PANAMA,Swimming or surfing,M,24.0,0,2000,21
62978,2008,MEXICO,Swimming,M,33.0,0,2000,21
62979,2008,USA,Swimming,M,24.0,0,2000,21
62980,2008,USA,Surfing,M,17.0,0,2000,21
62981,2008,USA,Snorkeling,F,44.0,0,2000,21
62982,2008,USA,Wading,M,9.0,0,2000,21
62983,2008,USA,Wading,F,8.0,0,2000,21
62984,2008,USA,Surfing,M,15.0,0,2000,21
62985,2008,USA,Wading,M,16.0,0,2000,21
62986,2008,EGYPT,Diving,M,24.0,0,2000,21
62987,2008,USA,Body surfing,M,52.0,0,2000,21
62988,2008,USA,Surfing,M,24.0,0,2000,21
62989,2008,USA,Swimming,F,14.0,0,2000,21
62990,2008,USA,Unknown,F,17.0,0,2000,21
62991,2008,UNITED KINGDOM,Rowing an inflatable dinghy,M,16.0,0,2000,21
62992,2008,USA,Wading,M,53.0,0,2000,21
62993,2008,BAHAMAS,Spearfishing,M,42.0,0,2000,21
62994,2008,SOUTH AFRICA,Surf skiing,M,46.0,0,2000,21
62995,2008,SOUTH AFRICA,Spearfishing (free diving),M,24.0,0,2000,21
62996,2008,USA,Surfing,M,29.0,0,2000,21
62997,2008,USA,Swimming,M,37.0,0,2000,21
62998,2008,BRAZIL,Surfing,M,24.0,0,2000,21
62999,2008,USA,Kayaking,F,40.0,0,2000,21
63000,2008,USA,Wading,F,35.0,0,2000,21
63001,2008,BRAZIL,Surfing,M,14.0,0,2000,21
63002,2008,USA,Body surfing,M,40.0,0,2000,21
63003,2008,SCOTLAND,Fishing,Unknown,24.0,0,2000,21
63004,2008,USA,Body surfing,F,15.0,0,2000,21
63005,2008,BRAZIL,Swimming,M,14.0,0,2000,21
63006,2008,USA,Surfing,M,9.0,0,2000,21
63007,2008,BAHAMAS,Sea Disaster,M,24.0,0,2000,21
63008,2008,MEXICO,Surfing,M,49.0,0,2000,21
63009,2008,MEXICO,Surfing,M,21.0,1,2000,21
63010,2008,FIJI,Night diving,M,28.0,1,2000,21
63011,2008,AUSTRALIA,Swimming,M,37.0,0,2000,21
63012,2008,NEW CALEDONIA,Fishing,M,40.0,0,2000,21
63013,2008,USA,Wading,M,6.0,0,2000,21
63014,2008,SOUTH AFRICA,Fishing,M,24.0,0,2000,21
63015,2008,MEXICO,Surfing,M,24.0,1,2000,21
63016,2008,USA,Surfing,M,18.0,0,2000,21
63017,2008,USA,Surfing,M,24.0,0,2000,21
63018,2008,NEW CALEDONIA,Swimming,M,32.0,0,2000,21
63019,2008,USA,Surfing,M,21.0,0,2000,21
63020,2008,USA,Swimming,M,66.0,1,2000,21
63021,2008,USA,Surfing,M,14.0,0,2000,21
63022,2008,AUSTRALIA,Unknown,M,24.0,0,2000,21
63023,2008,SOUTH AFRICA,Free-diving,M,24.0,0,2000,21
63024,2008,MEXICO,Swimming,M,32.0,0,2000,21
63025,2008,AUSTRALIA,Surfing,M,19.0,0,2000,21
63026,2008,USA,Surfing,M,30.0,0,2000,21
63027,2008,FIJI,Spearfishing,M,24.0,0,2000,21
63028,2008,USA,Wading,M,15.0,0,2000,21
63029,2008,USA,Surfing,Unknown,24.0,0,2000,21
63030,2008,AUSTRALIA,Body boarding,M,16.0,1,2000,21
63031,2008,USA,Walking out of the water after surfing,M,18.0,0,2000,21
63032,2008,SOUTH AFRICA,Fishing from surfski,M,39.0,0,2000,21
63033,2008,USA,Surfing,M,52.0,0,2000,21
63034,2008,USA,Boogie Boarding,M,24.0,0,2000,21
63035,2008,USA,Walking out of the water after surfing,M,13.0,0,2000,21
63036,2008,USA,Wading,M,14.0,0,2000,21
63037,2008,USA,Jet skiing,M,8.0,0,2000,21
63038,2008,USA,Surfing,M,27.0,0,2000,21
63039,2008,BAHAMAS,Diving,M,49.0,1,2000,21
63040,2008,FRENCH POLYNESIA,Spearfishing,M,26.0,0,2000,21
63041,2008,USA,Surfing,M,25.0,0,2000,21
63042,2008,AUSTRALIA,Surfing,F,14.0,0,2000,21
63043,2008,USA,Surf-skiing,M,24.0,0,2000,21
63044,2008,JAPAN,Diving,M,24.0,0,2000,21
63045,2008,SOUTH AFRICA,Surf-skiing,M,42.0,0,2000,21
63046,2008,AUSTRALIA,Accidentally stood on hooked shark's tail before attempting to gut it,M,20.0,0,2000,21
63047,2008,NEW ZEALAND,Wading,M,24.0,0,2000,21
63048,2008,NEW ZEALAND,Attempting to chase shark out to sea,Unknown,24.0,0,2000,21
63049,2008,USA,Surfing,M,20.0,0,2000,21
63050,2008,USA,Fishing for snapper,M,24.0,0,2000,21
63051,2008,MEXICO,Surfing,M,26.0,0,2000,21
63052,2007,ECUADOR,Surfing,M,24.0,0,2000,21
63053,2007,BRITISH VIRGIN ISLANDS,Scuba diving,M,53.0,0,2000,21
63054,2007,AUSTRALIA,Surfing,M,31.0,0,2000,21
63055,2007,AUSTRALIA,Swimming,M,24.0,0,2000,21
63056,2007,AUSTRALIA,Swimming,M,34.0,0,2000,21
63057,2007,USA,Surfing,M,52.0,0,2000,21
63058,2007,NEW ZEALAND,Surfing,F,24.0,0,2000,21
63059,2007,BRAZIL,Removing fish from a trap,M,28.0,0,2000,21
63060,2007,AUSTRALIA,Fishing,M,32.0,0,2000,21
63061,2007,AUSTRALIA,Surfing,M,24.0,0,2000,21
63062,2007,SOUTH AFRICA,Surfing,M,14.0,0,2000,21
63063,2007,USA,Surfing,M,21.0,0,2000,21
63064,2007,USA,Surfing,M,42.0,0,2000,21
63065,2007,SOUTH AFRICA,Surfing,M,37.0,0,2000,21
63066,2007,MEXICO,Shark diving,M,24.0,0,2000,21
63067,2007,USA,Floating,M,32.0,0,2000,21
63068,2007,AUSTRALIA,Surf-skiing,F,52.0,0,2000,21
63069,2007,AUSTRALIA,Spearfishing,M,31.0,0,2000,21
63070,2007,USA,Surfing,M,22.0,0,2000,21
63071,2007,USA,Surfing,M,16.0,0,2000,21
63072,2007,USA,Surfing,M,24.0,0,2000,21
63073,2007,PHILIPPINES,"The 426-ton cargo ship Mia, laden with cement, capsized in heavy seas",M,24.0,1,2000,21
63074,2007,NEW CALEDONIA,Swimming,F,23.0,1,2000,21
63075,2007,BAHAMAS,Spearfishing,F,48.0,0,2000,21
63076,2007,USA,Surfing,F,24.0,0,2000,21
63077,2007,EGYPT,Swimming,F,18.0,0,2000,21
63078,2007,USA,Scuba diving,F,24.0,0,2000,21
63079,2007,USA,Surfing,F,24.0,0,2000,21
63080,2007,USA,Surfing,M,23.0,0,2000,21
63081,2007,SOLOMON ISLANDS,Spearfishing,M,24.0,0,2000,21
63082,2007,USA,Wading?,M,56.0,0,2000,21
63083,2007,USA,Surfing,F,24.0,0,2000,21
63084,2007,USA,Snorkeling,M,14.0,0,2000,21
63085,2007,USA,Wading,F,58.0,0,2000,21
63086,2007,USA,Wading,F,36.0,0,2000,21
63087,2007,USA,Standing,M,15.0,0,2000,21
63088,2007,USA,Jumping,F,12.0,0,2000,21
63089,2007,USA,Swimming,M,58.0,0,2000,21
63090,2007,USA,Body boarding,M,15.0,0,2000,21
63091,2007,USA,Surfing,M,24.0,0,2000,21
63092,2007,USA,Surfing,M,54.0,0,2000,21
63093,2007,USA,Surfing,M,27.0,0,2000,21
63094,2007,USA,Diving,M,24.0,0,2000,21
63095,2007,USA,Fishing,M,24.0,0,2000,21
63096,2007,USA,Swimming,M,52.0,0,2000,21
63097,2007,USA,Surfing,M,16.0,0,2000,21
63098,2007,USA,Playing,M,7.0,0,2000,21
63099,2007,USA,Floating near boat & observing bioluminesce,M,20.0,0,2000,21
63100,2007,USA,Swimming,F,15.0,0,2000,21
63101,2007,USA,Walking out of the water after surfing,M,19.0,0,2000,21
63102,2007,USA,Swimming,M,30.0,0,2000,21
63103,2007,USA,Boogie Boarding,M,9.0,0,2000,21
63104,2007,USA,Jumped into the water,F,19.0,0,2000,21
63105,2007,USA,Surfing,M,51.0,0,2000,21
63106,2007,USA,Surfing,M,20.0,0,2000,21
63107,2007,USA,Surf paddling,M,24.0,0,2000,21
63108,2007,USA,Kayak Fishing,M,24.0,0,2000,21
63109,2007,USA,Snorkeling,M,36.0,0,2000,21
63110,2007,AUSTRALIA,Wading,M,15.0,0,2000,21
63111,2007,USA,Swimming,M,14.0,0,2000,21
63112,2007,NORWAY,Scuba diving,M,48.0,0,2000,21
63113,2007,USA,Swimming,F,43.0,0,2000,21
63114,2007,USA,Wading,F,30.0,0,2000,21
63115,2007,BAHAMAS,Spearfishing,F,48.0,0,2000,21
63116,2007,USA,Surfing,M,18.0,0,2000,21
63117,2007,REUNION,Body boarding,M,17.0,0,2000,21
63118,2007,SENEGAL,Murder,Unknown,24.0,0,2000,21
63119,2007,USA,Removing hook from shark,M,24.0,0,2000,21
63120,2007,USA,Swimming,F,24.0,0,2000,21
63121,2007,USA,Surfing,M,20.0,0,2000,21
63122,2007,USA,Surfing,M,24.0,0,2000,21
63123,2007,USA,Surfing,F,9.0,0,2000,21
63124,2007,USA,Swimming,F,24.0,0,2000,21
63125,2007,AUSTRALIA,Surfing,M,24.0,0,2000,21
63126,2007,USA,Wading,F,24.0,0,2000,21
63127,2007,USA,Reviving a sedated shark,F,40.0,0,2000,21
63128,2007,ENGLAND,Fishing,M,38.0,0,2000,21
63129,2007,AUSTRALIA,Wading,F,38.0,0,2000,21
63130,2007,AUSTRALIA,Surfing,M,19.0,0,2000,21
63131,2007,USA,Surfing,F,21.0,0,2000,21
63132,2007,SEYCHELLES,Snorkeling,M,24.0,0,2000,21
63133,2007,AUSTRALIA,Swimming,M,45.0,0,2000,21
63134,2007,USA,Snorkeling,F,63.0,0,2000,21
63135,2007,USA,Swimming,M,68.0,0,2000,21
63136,2007,TURKS & CAICOS,Sea Disaster,Unknown,24.0,1,2000,21
63137,2007,BAHAMAS,Shark tagging,F,20.0,0,2000,21
63138,2007,AUSTRALIA,Swimming / jumping off a jetty,F,13.0,0,2000,21
63139,2007,USA,Body boarding,M,12.0,0,2000,21
63140,2007,USA,Surfing,M,24.0,0,2000,21
63141,2007,USA,Fishing,Unknown,24.0,0,2000,21
63142,2007,NEW CALEDONIA,Surfing,M,26.0,0,2000,21
63143,2007,USA,Playing on a sandbar,M,7.0,0,2000,21
63144,2007,USA,Surfing,M,27.0,0,2000,21
63145,2007,USA,Unknown,M,9.0,0,2000,21
63146,2007,YEMEN,Murder,Unknown,24.0,1,2000,21
63147,2007,USA,Surfing,M,11.0,0,2000,21
63148,2007,AUSTRALIA,Surfing,F,42.0,0,2000,21
63149,2007,USA,Shark fishing,M,24.0,0,2000,21
63150,2007,AUSTRALIA,Swimming,F,59.0,0,2000,21
63151,2007,USA,Surfing,M,29.0,0,2000,21
63152,2007,NEW ZEALAND,Spearfishing,M,16.0,0,2000,21
63153,2007,COSTA RICA,Swimming,M,36.0,0,2000,21
63154,2007,AUSTRALIA,Boogie Boarding,M,26.0,0,2000,21
63155,2007,NEW CALEDONIA,Spearfishing,M,24.0,0,2000,21
63156,2007,NEW CALEDONIA,Spearfishing (free diving),M,30.0,0,2000,21
63157,2007,USA,Shrimping,Unknown,24.0,0,2000,21
63158,2007,AUSTRALIA,Diving,M,41.0,0,2000,21
63159,2007,AUSTRALIA,Swimming,M,20.0,0,2000,21
63160,2007,SOUTH AFRICA,Swimming / Body Surfing,M,24.0,1,2000,21
63161,2007,AUSTRALIA,Surfing,M,24.0,0,2000,21
63162,2007,USA,Surfing,M,54.0,0,2000,21
63163,2007,USA,Surfing,M,24.0,0,2000,21
63164,2006,AUSTRALIA,Surfing,M,25.0,0,2000,21
63165,2006,NEW ZEALAND,Surfing,M,10.0,0,2000,21
63166,2006,USA,Surfing,M,43.0,0,2000,21
63167,2006,SOUTH AFRICA,Fishing,M,25.0,0,2000,21
63168,2006,AUSTRALIA,Body boarding,M,15.0,0,2000,21
63169,2006,PHILIPPINES,Sea Disaster,Unknown,24.0,1,2000,21
63170,2006,USA,Swimming,M,29.0,0,2000,21
63171,2006,SOUTH AFRICA,Canoeing,M,24.0,0,2000,21
63172,2006,USA,Surfing,M,22.0,0,2000,21
63173,2006,USA,Fishing,M,15.0,0,2000,21
63174,2006,USA,Surfing,M,20.0,0,2000,21
63175,2006,USA,Surfing,M,24.0,0,2000,21
63176,2006,USA,Playing soccer in the water,M,18.0,0,2000,21
63177,2006,BAHAMAS,Free diving / modeling,F,26.0,0,2000,21
63178,2006,GULF OF ADEN,Murder,Unknown,24.0,1,2000,21
63179,2006,SOUTH AFRICA,Spearfishing,M,36.0,0,2000,21
63180,2006,USA,Surfing,M,19.0,0,2000,21
63181,2006,USA,Diving / Kissing the shark,M,24.0,0,2000,21
63182,2006,USA,Surfing,M,16.0,0,2000,21
63183,2006,USA,Swimming,M,55.0,0,2000,21
63184,2006,USA,Surfing,M,52.0,0,2000,21
63185,2006,AUSTRALIA,Diving,M,44.0,0,2000,21
63186,2006,BRAZIL,Unknown,M,20.0,1,2000,21
63187,2006,USA,Standing,M,33.0,0,2000,21
63188,2006,USA,Swimming,M,12.0,0,2000,21
63189,2006,SOUTH AFRICA,Surfing,M,37.0,0,2000,21
63190,2006,USA,Surfing,M,23.0,0,2000,21
63191,2006,AUSTRALIA,Surfing,M,24.0,0,2000,21
63192,2006,REUNION,Body boarding,M,27.0,0,2000,21
63193,2006,BRAZIL,Unknown,M,17.0,0,2000,21
63194,2006,BELIZE,Spearfishing,M,34.0,0,2000,21
63195,2006,ITALY,Sea Disaster,M,24.0,1,2000,21
63196,2006,REUNION,Surfing,M,34.0,1,2000,21
63197,2006,SOUTH AFRICA,Surfing,M,24.0,0,2000,21
63198,2006,SOUTH AFRICA,Lifesaving drill,M,24.0,0,2000,21
63199,2006,USA,Wading,F,59.0,0,2000,21
63200,2006,REUNION,Spearfishing,M,24.0,0,2000,21
63201,2006,USA,Touching sharks,Unknown,24.0,0,2000,21
63202,2006,USA,Surfing,M,41.0,0,2000,21
63203,2006,USA,Boogie Boarding,M,24.0,0,2000,21
63204,2006,USA,Surfing,M,15.0,0,2000,21
63205,2006,SOUTH AFRICA,Surf-skiing,M,19.0,0,2000,21
63206,2006,USA,Surfing,M,14.0,0,2000,21
63207,2006,USA,Surf fishing,M,24.0,0,2000,21
63208,2006,AUSTRALIA,Unknown,Unknown,24.0,0,2000,21
63209,2006,USA,Standing,M,49.0,0,2000,21
63210,2006,SPAIN,Swimming,F,7.0,0,2000,21
63211,2006,USA,Swimming,F,21.0,0,2000,21
63212,2006,BRAZIL,Unknown,M,24.0,1,2000,21
63213,2006,USA,Wading,M,40.0,0,2000,21
63214,2006,USA,Walking,M,11.0,0,2000,21
63215,2006,USA,Body boarding,F,14.0,0,2000,21
63216,2006,USA,Swimming,M,13.0,0,2000,21
63217,2006,USA,Spearfishing,F,28.0,0,2000,21
63218,2006,USA,Spearfishing,M,35.0,0,2000,21
63219,2006,USA,Body boarding,F,9.0,0,2000,21
63220,2006,USA,Fishing,M,24.0,0,2000,21
63221,2006,BAHAMAS,Spearfishing,M,25.0,0,2000,21
63222,2006,USA,Surfing,F,22.0,0,2000,21
63223,2006,BRAZIL,Body boarding,M,27.0,1,2000,21
63224,2006,USA,Scuba diving,M,43.0,0,2000,21
63225,2006,USA,Surfing,M,24.0,0,2000,21
63226,2006,USA,Playing,F,7.0,0,2000,21
63227,2006,AUSTRALIA,Surfing,M,40.0,0,2000,21
63228,2006,USA,Spearfishing,M,26.0,0,2000,21
63229,2006,USA,Tagging sharks,Unknown,24.0,0,2000,21
63230,2006,USA,Surfing,M,31.0,0,2000,21
63231,2006,USA,Spearfishing,M,15.0,0,2000,21
63232,2006,BRAZIL,Surfing,M,33.0,0,2000,21
63233,2006,USA,Scuba diving,F,30.0,0,2000,21
63234,2006,USA,Unknown,M,24.0,0,2000,21
63235,2006,USA,Swimming,F,20.0,0,2000,21
63236,2006,AUSTRALIA,Snorkeling,M,46.0,0,2000,21
63237,2006,USA,Unknown,M,24.0,0,2000,21
63238,2006,USA,Surfing,M,54.0,0,2000,21
63239,2006,USA,Standing,F,13.0,0,2000,21
63240,2006,USA,Fishing,M,35.0,0,2000,21
63241,2006,AUSTRALIA,Surfing,M,15.0,0,2000,21
63242,2006,SOUTH AFRICA,Body boarding,M,15.0,0,2000,21
63243,2006,BRAZIL,Swimming,M,35.0,0,2000,21
63244,2006,USA,Wading,M,11.0,0,2000,21
63245,2006,Sierra Leone,Fishing,M,24.0,1,2000,21
63246,2006,USA,Surfing,F,28.0,0,2000,21
63247,2006,SOUTH AFRICA,Swimming,M,17.0,0,2000,21
63248,2006,FIJI,Surfing,M,21.0,0,2000,21
63249,2006,AUSTRALIA,Surfing,M,15.0,0,2000,21
63250,2006,USA,Standing,F,15.0,0,2000,21
63251,2006,USA,Free diving,M,45.0,0,2000,21
63252,2006,AUSTRALIA,Wading,M,18.0,0,2000,21
63253,2006,AUSTRALIA,Swimming,M,24.0,0,2000,21
63254,2006,AUSTRALIA,Fishing,M,24.0,0,2000,21
63255,2006,SOUTH AFRICA,Surfing,M,15.0,0,2000,21
63256,2006,TONGA,Swimming,F,24.0,1,2000,21
63257,2006,USA,Kayaking,M,57.0,0,2000,21
63258,2006,ATLANTIC OCEAN,Competing in the Woodvale Atlantic Rowing Race,M,46.0,0,2000,21
63259,2006,SOUTH AFRICA,Spearfishing,M,34.0,0,2000,21
63260,2006,ATLANTIC OCEAN,Competing in the Woodvale Atlantic Rowing Race,F,28.0,0,2000,21
63261,2006,USA,Night Surfing,M,24.0,0,2000,21
63262,2006,AUSTRALIA,Scuba diving,M,52.0,0,2000,21
63263,2006,BAHAMAS,Diving for lobsters,M,24.0,0,2000,21
63264,2006,AUSTRALIA,Swimming,F,21.0,1,2000,21
63265,2006,USA,Surfing,M,21.0,0,2000,21
63266,2006,SOUTH AFRICA,Diving for crayfish,M,49.0,0,2000,21
63267,2005,USA,Surfing,M,30.0,0,2000,21
63268,2005,USA,Swimming,M,29.0,0,2000,21
63269,2005,ATLANTIC OCEAN,Competing in the Woodvale Atlantic Rowing Race,Unknown,24.0,0,2000,21
63270,2005,AUSTRALIA,Spearfishing,M,44.0,0,2000,21
63271,2005,AUSTRALIA,Fishing,Unknown,24.0,0,2000,21
63272,2005,USA,Surfing,M,24.0,0,2000,21
63273,2005,USA,Surfing,M,23.0,0,2000,21
63274,2005,AUSTRALIA,Fishing,Unknown,24.0,0,2000,21
63275,2005,AUSTRALIA,Surfing,M,18.0,0,2000,21
63276,2005,SOUTH AFRICA,Surfing,M,26.0,0,2000,21
63277,2005,NEW CALEDONIA,Spearfishing,Unknown,24.0,0,2000,21
63278,2005,USA,Surfing,M,30.0,0,2000,21
63279,2005,USA,Surfing,M,17.0,0,2000,21
63280,2005,NEW CALEDONIA,Unknown,Unknown,24.0,0,2000,21
63281,2005,SOUTH AFRICA,Fishing for sharks,M,32.0,0,2000,21
63282,2005,USA,Surfing,M,18.0,0,2000,21
63283,2005,USA,Surfing,M,25.0,0,2000,21
63284,2005,USA,Surfing,M,26.0,0,2000,21
63285,2005,USA,Wading,M,15.0,0,2000,21
63286,2005,ST. MAARTIN,Standing,M,55.0,0,2000,21
63287,2005,SOUTH AFRICA,Standing / Surfing,M,20.0,0,2000,21
63288,2005,USA,Surfing,M,36.0,0,2000,21
63289,2005,USA,Surfing,F,20.0,0,2000,21
63290,2005,USA,Wading,M,15.0,0,2000,21
63291,2005,USA,Surfing,M,22.0,0,2000,21
63292,2005,GRAND CAYMAN,Scuba diving,F,57.0,0,2000,21
63293,2005,USA,Treading water/ Surfing,M,48.0,0,2000,21
63294,2005,BAHAMAS,Diving,M,35.0,0,2000,21
63295,2005,SOUTH AFRICA,Surf-skiing,M,52.0,0,2000,21
63296,2005,AUSTRALIA,Surfing,M,28.0,0,2000,21
63297,2005,AUSTRALIA,Surfing,M,26.0,0,2000,21
63298,2005,AUSTRALIA,Surfing,M,44.0,0,2000,21
63299,2005,USA,Surfing,M,24.0,0,2000,21
63300,2005,USA,Body surfing,F,68.0,0,2000,21
63301,2005,USA,Surfing,M,18.0,1,2000,21
63302,2005,AUSTRALIA,Standing,M,15.0,0,2000,21
63303,2005,USA,Wading,F,18.0,0,2000,21
63304,2005,AUSTRALIA,Surfing,M,40.0,0,2000,21
63305,2005,USA,Standing / Surfing,M,62.0,0,2000,21
63306,2005,THAILAND,Removing shark from net,M,21.0,1,2000,21
63307,2005,AUSTRALIA,Scuba diving,M,23.0,1,2000,21
63308,2005,USA,Surfing,M,37.0,0,2000,21
63309,2005,USA,"Boogie boarding, kicked at object in the water",M,17.0,0,2000,21
63310,2005,USA,Swimming,M,8.0,0,2000,21
63311,2005,USA,Walking,M,12.0,0,2000,21
63312,2005,SOUTH AFRICA,Unknown,Unknown,24.0,0,2000,21
63313,2005,USA,Surfing,M,16.0,0,2000,21
63314,2005,USA,Swimming,M,14.0,0,2000,21
63315,2005,Seychelles,Fishing,M,24.0,0,2000,21
63316,2005,USA,Wading,F,13.0,0,2000,21
63317,2005,USA,Surfing,M,61.0,0,2000,21
63318,2005,USA,Surfing,M,25.0,0,2000,21
63319,2005,LIBERIA,Swimming,M,24.0,0,2000,21
63320,2005,CHINA,Scuba diving in aquarium tank,M,24.0,0,2000,21
63321,2005,AUSTRALIA,Unknown,Unknown,24.0,0,2000,21
63322,2005,USA,Swimming,M,22.0,0,2000,21
63323,2005,USA,Holding onto an inflatable boat,F,14.0,0,2000,21
63324,2005,USA,Standing,M,19.0,0,2000,21
63325,2005,USA,Fishing,M,16.0,0,2000,21
63326,2005,USA,Swimming with boogie board,F,14.0,1,2000,21
63327,2005,VANUATU,Swimming,F,7.0,1,2000,21
63328,2005,MEXICO,Surfing,M,24.0,0,2000,21
63329,2005,USA,Swimming,M,49.0,0,2000,21
63330,2005,USA,Swimming,M,20.0,0,2000,21
63331,2005,SOUTH KOREA,Diving,F,38.0,0,2000,21
63332,2005,USA,Boogie boarding,F,11.0,0,2000,21
63333,2005,USA,Surfing,M,17.0,0,2000,21
63334,2005,SOUTH AFRICA,Spearfishing (Free diving),M,22.0,1,2000,21
63335,2005,USA,Wading,M,6.0,0,2000,21
63336,2005,USA,Swimming,M,33.0,0,2000,21
63337,2005,USA,Crouching in 2' of water,F,24.0,0,2000,21
63338,2005,SOUTH AFRICA,Surfing,M,32.0,0,2000,21
63339,2005,AUSTRALIA,Spearfishing,M,24.0,0,2000,21
