,index,id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews
30055,30055,17600713,Perfectly located Williamsburg 1.5 bedroom Apt,56780933116,unconfirmed,Oren,Brooklyn,Williamsburg,40.71662,-73.94514,United States,US,False,strict,Entire home/apt,2004.0,$65 ,$13 ,2.0,14.0
30056,30056,17601265,Spacious 2 level home for Groups sleeps upto 12,11138949761,unconfirmed,Yahaira,Bronx,Allerton,40.86578,-73.86534,United States,US,True,flexible,Entire home/apt,2011.0,$749 ,$150 ,2.0,22.0
30057,30057,17601817,Spacious & bright 2BR/2BA (available for August),5602934549,unconfirmed,Julian,Brooklyn,Flatbush,40.64726,-73.95937,United States,US,True,moderate,Entire home/apt,2005.0,$796 ,$159 ,14.0,1.0
30058,30058,17602369,Beautiful room in renovated Manhattan apartment,85045144992,verified,Geraldo,Manhattan,Washington Heights,40.83416,-73.94375,United States,US,True,moderate,Private room,2008.0,$783 ,$157 ,5.0,2.0
30059,30059,17602922,"Evergreen apartment, furnished with natural light",67467652468,verified,Derek,Brooklyn,Bushwick,40.68822,-73.9124,United States,US,True,strict,Private room,2006.0,"$1,056 ",$211 ,1.0,10.0
30060,30060,17603474,Large Room in a 2Bedrooms Perfect UWS Experience,45021735186,unconfirmed,Madi,Manhattan,Upper West Side,40.79298,-73.97249,United States,US,False,moderate,Private room,2010.0,$322 ,$64 ,1.0,0.0
30061,30061,17604026,Brooklyn Loft in South Williamsburg,88740091338,verified,Maxwell,Brooklyn,Williamsburg,40.71264,-73.96461,United States,US,True,moderate,Entire home/apt,2013.0,$122 ,$24 ,5.0,0.0
30062,30062,17604579,Cozy apartment with a huge terrace in Greenpoint,42365017417,verified,Renata,Brooklyn,Greenpoint,40.72421,-73.94074,United States,US,True,strict,Entire home/apt,2003.0,"$1,111 ",$222 ,1.0,0.0
30063,30063,17605131,Spacious Studio on Staten Island,62382557018,verified,Mary,Staten Island,Port Richmond,40.63012,-74.13512,United States,US,True,flexible,Entire home/apt,2007.0,$420 ,$84 ,31.0,0.0
30064,30064,17605683,Prime location 2 BR APT/ Midtown West/ Manhattan,75998064763,unconfirmed,Jose,Manhattan,Hell's Kitchen,40.75546,-73.99582,United States,US,True,strict,Entire home/apt,2015.0,$245 ,$49 ,3.0,31.0
30065,30065,17606236,Spacious zen apartment. Close to King's hwy stop.,77639761862,unconfirmed,Ekaterina,Brooklyn,Midwood,40.61182,-73.95436,United States,US,True,strict,Entire home/apt,2010.0,$488 ,$98 ,3.0,0.0
30066,30066,17606788,"Charming studio in the heart of UES, Manhattan!",48904687040,unconfirmed,Surani,Manhattan,Upper East Side,40.77579,-73.95628,United States,US,False,moderate,Entire home/apt,2004.0,$179 ,$36 ,5.0,1.0
30067,30067,17607340,Cozy and conveniently located,771626548,unconfirmed,Rosella,Manhattan,Lower East Side,40.7216,-73.98959,United States,US,False,moderate,Entire home/apt,2004.0,$462 ,$92 ,10.0,4.0
30068,30068,17607892,NYCTH Suit Room,91428740379,unconfirmed,Jirapong,Queens,Jackson Heights,40.74879,-73.88342,United States,US,False,flexible,Private room,2008.0,$238 ,$48 ,1.0,24.0
30069,30069,17608445,Chic/Industrial 1 Bedroom Near Barclay's Center,29532636057,unconfirmed,Emily,Brooklyn,Gowanus,40.68293,-73.98849,United States,US,False,moderate,Entire home/apt,2015.0,$738 ,$148 ,3.0,5.0
30070,30070,17608997,Private 2 Bedrooms - Subway Across Street,96211298957,verified,Quaizar,Queens,Woodhaven,40.69564,-73.85052,United States,US,False,moderate,Entire home/apt,2008.0,"$1,180 ",$236 ,3.0,0.0
30071,30071,17609549,Large bright loft in Williamsburg,19931025738,verified,Cara,Brooklyn,Williamsburg,40.70569,-73.95301,United States,US,False,strict,Private room,2012.0,$534 ,$107 ,2.0,5.0
30072,30072,17610102,"Huge One Bedroom, 20 min from Center of Manhattan!",38710919733,unconfirmed,Steve,Queens,Forest Hills,40.7255,-73.84755,United States,US,False,strict,Entire home/apt,2018.0,"$1,124 ",$225 ,2.0,1.0
30073,30073,17610654,Tony's Room 1 near La Guardia Airport,7615074831,unconfirmed,Camilo & Yesenia,Queens,East Elmhurst,40.76444,-73.86907,United States,US,True,flexible,Private room,2007.0,$995 ,$199 ,1.0,73.0
30074,30074,17611206,Shared studio apartment,50970460915,unconfirmed,Elisheva,Bronx,Morris Heights,40.84718,-73.91378,United States,US,True,moderate,Shared room,2013.0,$399 ,$80 ,1.0,9.0
30075,30075,17611759,Cozy Respite in the HeART of Bushwick,20536350217,unconfirmed,Megwyn,Brooklyn,Bushwick,40.69874,-73.92496,United States,US,False,strict,Private room,2006.0,"$1,075 ",$215 ,3.0,51.0
30076,30076,17612311,Upper East Side Triplex Penthouse Rooftop,6265759136,verified,S,Manhattan,Upper East Side,40.77394,-73.95252,United States,US,False,strict,Entire home/apt,2005.0,$64 ,$13 ,1.0,1.0
30077,30077,17612863,Private Quiet Room in Chelsea Brownstone Apartment,87183499374,unconfirmed,Anne-Lise,Manhattan,Chelsea,40.75115,-73.99787,United States,US,False,strict,Private room,2006.0,$901 ,$180 ,7.0,4.0
30078,30078,17613415,Cozy bedroom in Clinton Hill,79759248586,verified,Brittany,Brooklyn,Bedford-Stuyvesant,40.68706,-73.95637,United States,US,True,strict,Private room,2022.0,$732 ,$146 ,1.0,22.0
30079,30079,17613968,Cathedral View,42128908043,verified,Matt,Manhattan,Upper West Side,40.80115,-73.96282,United States,US,True,flexible,Private room,2014.0,$756 ,$151 ,1.0,1.0
30080,30080,17614520,纽约法拉盛民宿客栈,65652268649,unconfirmed,Betty,Queens,Flushing,40.7681,-73.82265,United States,US,False,flexible,Private room,2020.0,$641 ,$128 ,2.0,1.0
30081,30081,17615072,Artist apartment in LIC,5714672328,unconfirmed,Grace,Queens,Long Island City,40.74786,-73.94628,United States,US,False,flexible,Shared room,2003.0,$872 ,$174 ,1.0,1.0
30082,30082,17615625,Private room in Manhattan,95489843008,verified,Artur,Manhattan,Kips Bay,40.74405,-73.97596,United States,US,False,moderate,Private room,2007.0,"$1,166 ",$233 ,1.0,0.0
30083,30083,17616177,Quiet and spacious room for 2,751153312,verified,Zsofia,Queens,Maspeth,40.71937,-73.90442,United States,US,False,flexible,Private room,2015.0,$802 ,$160 ,1.0,2.0
30084,30084,17616729,Renovated 1BR Apt  -  close to Grand Central & UN,23944532747,verified,Fazli,Manhattan,Murray Hill,40.74668,-73.97309,United States,US,False,moderate,Entire home/apt,2020.0,$60 ,$12 ,10.0,2.0
30085,30085,17617282,Gorgeous Studio in Little Italy Nolita!!!,34237920098,unconfirmed,Richard,Manhattan,Little Italy,40.71967,-73.99583,United States,US,False,moderate,Entire home/apt,2021.0,$60 ,$12 ,31.0,5.0
30086,30086,17617834,2 full beds-Spacious beautiful room near Manhattan,21384398966,unconfirmed,Sen,Queens,Sunnyside,40.74759,-73.91446,United States,US,False,flexible,Private room,2004.0,$670 ,$134 ,1.0,78.0
30087,30087,17618386,"Large Room in Hip Lefferts Garden 1,100 SQ Ft Apt.",55258743754,unconfirmed,Stefanie,Brooklyn,Flatbush,40.6455,-73.95975,United States,US,False,moderate,Private room,2015.0,$977 ,$195 ,14.0,5.0
30088,30088,17618938,Spacious Pre-War Apt - 1 Block Off Prospect Park,46620313903,verified,Mary,Brooklyn,Flatbush,40.654,-73.96209,United States,US,False,moderate,Private room,2018.0,"$1,054 ",$211 ,1.0,0.0
30089,30089,17619491,Private Room in Large Apartment With Yard,84618575069,unconfirmed,Joey,Brooklyn,Bedford-Stuyvesant,40.68357,-73.93753,United States,US,True,flexible,Private room,2020.0,"$1,134 ",$227 ,2.0,89.0
30090,30090,17620043,Functional & fresh Manhattan male room longterm II,56011843906,verified,Sultan,Manhattan,Lower East Side,40.71172,-73.98864,United States,US,False,flexible,Shared room,2007.0,$476 ,$95 ,100.0,2.0
30091,30091,17620595,Large Sunny Clinton Hill/Bedstuy bedroom,80747313735,verified,Aaron,Brooklyn,Bedford-Stuyvesant,40.69076,-73.95883,United States,US,True,flexible,Private room,2018.0,$647 ,$129 ,1.0,18.0
30092,30092,17621148,"Bright, Family-Friendly Brooklyn Townhouse",47177332020,verified,Garrett,Brooklyn,Gowanus,40.6844,-73.98669,United States,US,True,moderate,Entire home/apt,2005.0,$329 ,$66 ,3.0,0.0
30093,30093,17621700,"Manhattan, West Side, Hudson River View",57567878991,unconfirmed,Monica,Manhattan,Washington Heights,40.84857,-73.94193,United States,US,False,strict,Private room,2019.0,$662 ,$132 ,3.0,0.0
30094,30094,17622252,Queen size Bedroom in Washington Heights Manhattan,75557418208,verified,Derek,Manhattan,Washington Heights,40.84777,-73.94178,United States,US,True,moderate,Private room,2020.0,$626 ,$125 ,1.0,0.0
30095,30095,17622805,Spacious Apt in Washington Heights Manhattan,48784458981,unconfirmed,Derek,Manhattan,Washington Heights,40.84643,-73.94187,United States,US,True,moderate,Private room,2017.0,$648 ,$130 ,1.0,0.0
30096,30096,17623357,High rise studio,85526278301,unconfirmed,Christian,Manhattan,Harlem,40.82015,-73.95747,United States,US,False,strict,Entire home/apt,2015.0,$283 ,$57 ,6.0,5.0
30097,30097,17623909,Gorgeous Studio Apartment in the heart of Manhatan,39184597453,unconfirmed,Iryna,Manhattan,Upper East Side,40.77226,-73.95631,United States,US,True,strict,Entire home/apt,2020.0,$798 ,$160 ,5.0,5.0
30098,30098,17624461,"Warm, Cozy Room in our Classic Brooklyn Brownstone",93293162230,verified,Rachel,Brooklyn,Bedford-Stuyvesant,40.68261,-73.95187,United States,US,True,moderate,Private room,2004.0,$164 ,$33 ,2.0,17.0
30099,30099,17625014,"WOW factor! Duplex 3br,2bath. Central Pk, Columbia",31926759730,unconfirmed,Amy,Manhattan,Upper West Side,40.79788,-73.96235,United States,US,True,strict,Entire home/apt,2014.0,$555 ,$111 ,30.0,2.0
30100,30100,17625566,Empire State Studio,68830933743,unconfirmed,Marlene,Manhattan,Midtown,40.74827,-73.98828,United States,US,True,moderate,Entire home/apt,2009.0,"$1,185 ",$237 ,3.0,27.0
30101,30101,17626118,Cozy & Comfortable Modern Apartment,13145849341,unconfirmed,Andre,Manhattan,Harlem,40.8298,-73.93984,United States,US,True,flexible,Private room,2013.0,"$1,184 ",$237 ,2.0,25.0
30102,30102,17626671,Greenwich Village Gem at Washington Sq Park!,80613042438,unconfirmed,Jeffery,Manhattan,Greenwich Village,40.73091,-74.00002,United States,US,False,strict,Entire home/apt,2005.0,$134 ,$27 ,1.0,77.0
30103,30103,17627223,Big beautiful bedroom in huge Bushwick apartment,462669364,verified,Megan,Brooklyn,Bushwick,40.69839,-73.92044,United States,US,False,flexible,Private room,2011.0,"$1,190 ",$238 ,2.0,8.0
30104,30104,17627775,La Quinta Central Park West Hotel,89757128847,unconfirmed,Vijay,Manhattan,Upper West Side,40.77722,-73.97834,United States,US,False,flexible,Private room,2011.0,$481 ,$96 ,1.0,0.0
30105,30105,17628328,Quiet Brooklyn Artist Apartment With A View,3987924493,unconfirmed,Alexandra,Brooklyn,Clinton Hill,40.68651,-73.96604,United States,US,True,strict,Entire home/apt,2007.0,"$1,014 ",$203 ,5.0,1.0
30106,30106,17628880,Ridge wood apartment w/ rooftop deck,78348447956,verified,Max,Queens,Ridgewood,40.70663,-73.89709,United States,US,True,moderate,Private room,2014.0,$167 ,$33 ,1.0,44.0
30107,30107,17629432,NYCTH Master Room,78385495040,unconfirmed,Jirapong,Queens,Woodside,40.74301,-73.8954,United States,US,False,flexible,Private room,2021.0,"$1,188 ",$238 ,1.0,2.0
30108,30108,17629984,Beautiful Studio in UWS,30263362106,unconfirmed,George,Manhattan,Upper West Side,40.79408,-73.97392,United States,US,False,moderate,Entire home/apt,2018.0,"$1,043 ",$209 ,5.0,0.0
30109,30109,17630537,"Sunny + Cozy Studio in Prospect Heights, Brooklyn",73722460917,unconfirmed,Anthony,Brooklyn,Prospect Heights,40.67616,-73.96466,United States,US,False,flexible,Entire home/apt,2017.0,$767 ,$153 ,3.0,7.0
30110,30110,17631089,Spacious and sunny room in Crown Heights,74579430695,unconfirmed,Matthew,Brooklyn,Crown Heights,40.67671,-73.94938,United States,US,True,strict,Private room,2016.0,$608 ,$122 ,2.0,0.0
30111,30111,17631641,Spacious Greenpoint Living,30940574977,verified,Byron,Brooklyn,Greenpoint,40.72742,-73.95066,United States,US,True,flexible,Entire home/apt,2009.0,"$1,122 ",$224 ,2.0,5.0
30112,30112,17632194,"Heart of Williamsburg, Private Bedroom in 2BR Apt",13867623736,unconfirmed,Sarah,Brooklyn,Williamsburg,40.71619,-73.95641,United States,US,False,flexible,Private room,2010.0,$964 ,$193 ,14.0,0.0
30113,30113,17632746,Spacious private bedroom in duplex with backyard,46630256822,verified,Caroline,Brooklyn,Crown Heights,40.67184,-73.94041,United States,US,True,flexible,Private room,2016.0,$283 ,$57 ,7.0,0.0
30114,30114,17633298,Spacious Greenpoint Living - Private Room,22908047448,verified,Byron,Brooklyn,Greenpoint,40.72672,-73.9517,United States,US,True,moderate,Private room,2010.0,$677 ,$135 ,2.0,0.0
30115,30115,17633851,Greenpoint Loft with True Brooklyn Flavor,13692626791,unconfirmed,Kyle,Brooklyn,Greenpoint,40.72612,-73.95691,United States,US,False,moderate,Entire home/apt,2007.0,$777 ,$155 ,2.0,48.0
30116,30116,17634403,Cozy Studio near South Beach :-),2406558865,verified,Arek,Staten Island,Arrochar,40.59078,-74.07504,United States,US,False,strict,Entire home/apt,2005.0,$350 ,$70 ,2.0,30.0
30117,30117,17634955,Luxury Garden Escape in Trendy Williamsburg 1 BR,1032084187,verified,Olivia,Brooklyn,Williamsburg,40.70757,-73.95387,United States,US,False,moderate,Entire home/apt,2012.0,$807 ,$161 ,4.0,82.0
30118,30118,17635507,Private apartment w/parking,52813170134,verified,Gabriela,Queens,Briarwood,40.7149,-73.80916,United States,US,True,flexible,Entire home/apt,2012.0,$921 ,$184 ,5.0,51.0
30119,30119,17636060,Cozy Renovated 2 Bedroom Apartment Heart of Brklyn,27973171486,unconfirmed,Mirco,Brooklyn,Sunset Park,40.64279,-74.00515,United States,US,True,moderate,Entire home/apt,2014.0,$890 ,$178 ,30.0,10.0
30120,30120,17636612,Lovely 1 bedroom in East Harlem,88092714902,unconfirmed,Eni,Manhattan,East Harlem,40.80086,-73.93979,United States,US,False,flexible,Entire home/apt,2015.0,$334 ,$67 ,5.0,15.0
30121,30121,17637164,Awesome cozy bedroom in hip area,16645596365,verified,Sarah,Brooklyn,Bushwick,40.68901,-73.90768,United States,US,False,strict,Private room,2014.0,$608 ,$122 ,2.0,39.0
30122,30122,17637717,Private 1-bedroom Apartment in the Lombardy,74710364223,unconfirmed,Ian,Manhattan,Midtown,40.76163,-73.97113,United States,US,False,strict,Entire home/apt,2019.0,$331 ,$66 ,1.0,108.0
30123,30123,17638269,"Luxury Apartment, best of Brooklyn, mins from MH",24147430431,unconfirmed,Nick,Brooklyn,Downtown Brooklyn,40.69472,-73.98337,United States,US,False,strict,Entire home/apt,2020.0,$710 ,$142 ,3.0,2.0
30124,30124,17638821,Private 1 bedroom - Great for Travel Nurses,22387502054,verified,Idara,Brooklyn,Kensington,40.64109,-73.97503,United States,US,False,moderate,Private room,2018.0,$752 ,$150 ,1.0,1.0
30125,30125,17639374,Enormous and illuminated on top floor (long term),22313342293,unconfirmed,Alek,Queens,Elmhurst,40.74524,-73.8876,United States,US,False,moderate,Entire home/apt,2010.0,"$1,088 ",$218 ,60.0,2.0
30126,30126,17639926,A Peaceful Home in Manhattan,30894460925,unconfirmed,Kathleen,Manhattan,Harlem,40.83118,-73.94325,United States,US,True,moderate,Private room,2003.0,$598 ,$120 ,2.0,83.0
30127,30127,17640478,"8 mins to Central Park,3 mins to Subway,Guest Room",84205734212,verified,Andrea,Manhattan,Upper East Side,40.77603,-73.95573,United States,US,False,strict,Private room,2018.0,$94 ,$19 ,3.0,35.0
30128,30128,17641030,2 Bedroom Garden Apartment in Brooklyn,53597374014,verified,Jeannie & Everett,Brooklyn,Bedford-Stuyvesant,40.68807,-73.93634,United States,US,False,strict,Entire home/apt,2015.0,$521 ,$104 ,4.0,42.0
30129,30129,17641583,"Sunny, spacious and quiet room in artist residency",37485974017,unconfirmed,Gisella,Brooklyn,East Flatbush,40.64745,-73.94413,United States,US,True,flexible,Private room,2020.0,"$1,183 ",$237 ,6.0,0.0
30130,30130,17642135,Only book if your name is Haydn,8372529193,verified,Lucas,Manhattan,Upper East Side,40.77506,-73.95335,United States,US,False,strict,Shared room,2021.0,$504 ,$101 ,1.0,1.0
30131,30131,17642687,Bright Brooklyn Heights One Bedroom Apt,49747140521,verified,Lee,Brooklyn,Brooklyn Heights,40.69109,-73.99654,United States,US,True,strict,Entire home/apt,2012.0,$618 ,$124 ,1.0,0.0
30132,30132,17643240,Cozy Room. 2 blocks to Subway,36829239090,unconfirmed,Vas,Bronx,Concourse Village,40.83168,-73.91977,United States,US,True,flexible,Private room,2010.0,$974 ,$195 ,5.0,33.0
30133,30133,17643792,"Cozy, private and lovely room at home in Bedstuy",44875402414,unconfirmed,Nilbia,Brooklyn,Bedford-Stuyvesant,40.69306,-73.94475,United States,US,False,strict,Private room,2011.0,$309 ,$62 ,3.0,9.0
30134,30134,17644344,GUEST ROOM in a Beautiful 2 bedroom Apartment,37261868472,verified,Javerick,Brooklyn,Bedford-Stuyvesant,40.6893,-73.94573,United States,US,False,moderate,Private room,2004.0,"$1,031 ",$206 ,3.0,16.0
30135,30135,17644897,(B) Room for 2 - sharing bath,38034852810,verified,Wilson,Queens,Flushing,40.77354,-73.82371,United States,US,False,flexible,Private room,2004.0,$628 ,$126 ,2.0,25.0
30136,30136,17645449,Charming room at Bed-Stuy,50378166924,verified,Bianca,Brooklyn,Bedford-Stuyvesant,40.6943,-73.93935,United States,US,True,flexible,Private room,2018.0,$720 ,$144 ,1.0,33.0
30137,30137,17646001,"Contemporary Home Away from Home, Entire house",70778892872,unconfirmed,Leon,Staten Island,Tompkinsville,40.63462,-74.08136,United States,US,False,strict,Entire home/apt,2008.0,$290 ,$58 ,2.0,37.0
30138,30138,17646553,Private room in family apartment,89386054326,verified,Jennifer,Brooklyn,Bedford-Stuyvesant,40.68082,-73.92162,United States,US,False,flexible,Private room,2016.0,$931 ,$186 ,1.0,65.0
30139,30139,17647106,Big New Family Friendly Great Location,24249327714,unconfirmed,Martin,Brooklyn,Sunset Park,40.65511,-74.001,United States,US,True,strict,Entire home/apt,2011.0,$605 ,$121 ,7.0,1.0
30140,30140,17647658,Bright Modern Chic & Clean East Village APT,19720336501,unconfirmed,Jeff,Manhattan,East Village,40.72923,-73.98197,United States,US,False,moderate,Entire home/apt,2013.0,$732 ,$146 ,1.0,40.0
30141,30141,17648210,Peaceful room in popular prime Bushwick street art,64044279343,unconfirmed,Lola,Brooklyn,Bushwick,40.70468,-73.92481,United States,US,False,strict,Private room,2010.0,$110 ,$22 ,1.0,82.0
30142,30142,17648763,Cozy Astoria bedroom 20 min from midtown,18630947376,verified,Alegria,Queens,Ditmars Steinway,40.77202,-73.91292,United States,US,False,moderate,Private room,2017.0,$579 ,$116 ,2.0,26.0
30143,30143,17649315,1 BR Flat in Williamsburg (3 blocks from  Bedford),74779547201,verified,Damien,Brooklyn,Williamsburg,40.71399,-73.95363,United States,US,True,moderate,Entire home/apt,2006.0,"$1,035 ",$207 ,2.0,45.0
30144,30144,17649867,Lovely West Village 1 BR - Quiet and Comfortable,2700627069,verified,Laura,Manhattan,West Village,40.739,-74.00115,United States,US,True,moderate,Entire home/apt,2020.0,$260 ,$52 ,2.0,6.0
30145,30145,17650420,Wyndham Midtown 45 (2 Bedroom Presidential) 2A,11349289273,verified,Michael,Manhattan,Midtown,40.75377,-73.97223,United States,US,False,flexible,Entire home/apt,2004.0,$72 ,$14 ,3.0,40.0
30146,30146,17650972,No place like Brooklyn.  No place like Red Hook,3460716614,unconfirmed,Julian,Brooklyn,Red Hook,40.67914,-74.0063,United States,US,False,flexible,Entire home/apt,2011.0,"$1,151 ",$230 ,3.0,1.0
30147,30147,17651524,Artsy Queen Room in BUSHWICK: Jefferson L train,36302563716,unconfirmed,Aj,Queens,Ridgewood,40.70991,-73.91832,United States,US,False,strict,Private room,2005.0,$615 ,$123 ,3.0,13.0
30148,30148,17652076,Grand Concourse Gem,16787509998,unconfirmed,Edwin,Bronx,Concourse,40.8315,-73.92047,United States,US,False,flexible,Private room,2004.0,$892 ,$178 ,1.0,16.0
30149,30149,17652629,Cozy Apartment for 1 or 2 people,85188998128,unconfirmed,David,Brooklyn,Crown Heights,40.67294,-73.95943,United States,US,False,strict,Entire home/apt,2012.0,$739 ,$148 ,3.0,9.0
30150,30150,17653181,"Spacious 1 bedroom apt in Chinatown, NYC",6191889729,verified,Conor,Manhattan,Chinatown,40.71483,-73.99287,United States,US,False,flexible,Entire home/apt,2015.0,$380 ,$76 ,7.0,9.0
30151,30151,17653733,Tropical New Yorker with Backyard,35888053063,unconfirmed,The,Brooklyn,Williamsburg,40.70794,-73.94532,United States,US,False,flexible,Entire home/apt,2014.0,"$1,056 ",$211 ,5.0,61.0
30152,30152,17654286,Private bedroom in Barclays (Brooklyn),81872462102,unconfirmed,Hooman,Brooklyn,Prospect Heights,40.68215,-73.97372,United States,US,False,flexible,Private room,2012.0,$506 ,$101 ,2.0,2.0
30153,30153,17654838,"Sunny, Spacious Brooklyn Room 1 Block From Train!",53790739576,verified,Maxwell,Brooklyn,Bushwick,40.68705,-73.91425,United States,US,False,moderate,Private room,2007.0,$455 ,$91 ,3.0,4.0
30154,30154,17655390,Cozy Studio by the Park,68965366905,unconfirmed,Sidney,Brooklyn,Prospect-Lefferts Gardens,40.66179,-73.95879,United States,US,True,flexible,Entire home/apt,2013.0,$517 ,$103 ,4.0,2.0
30155,30155,17655943,Private room in Williamsburg. Very close to train!,21450621033,verified,Nuria,Manhattan,Civic Center,40.71335,-74.00687,United States,US,False,moderate,Private room,2004.0,$240 ,$48 ,3.0,0.0
30156,30156,17656495,Large Alcove Studio in the Heart of Chelsea,40806394983,unconfirmed,Anne,Manhattan,Chelsea,40.74482,-73.99882,United States,US,False,strict,Entire home/apt,2004.0,$902 ,$180 ,1.0,72.0
30157,30157,17657047,Entire Place in Prime Brooklyn Neighborhood,27124815586,verified,Yitzchok,Brooklyn,Sunset Park,40.65774,-73.99927,United States,US,False,moderate,Entire home/apt,2009.0,$637 ,$127 ,1.0,113.0
30158,30158,17657599,Central Park - Room for 2 to 4,71466175634,verified,Lugao,Manhattan,Upper West Side,40.79701,-73.96933,United States,US,True,flexible,Private room,2019.0,$929 ,$186 ,1.0,27.0
30159,30159,17658152,"Mod Midtown East 1BR w/ Gym, walk to Grand Central by Blueground",18564124003,unconfirmed,Blueground,Manhattan,Murray Hill,40.749,-73.97961,United States,US,False,flexible,Entire home/apt,2011.0,"$1,168 ",$234 ,30.0,0.0
30160,30160,17658704,"Convenient, Quiet and Sunny 1 BR Condo in Flushing",68161621761,unconfirmed,Alan,Queens,Flushing,40.76105,-73.82317,United States,US,False,strict,Entire home/apt,2006.0,$520 ,$104 ,30.0,4.0
30161,30161,17659256,Cosy private room in Manhattan!!!,1113492697,unconfirmed,Claudio,Manhattan,East Harlem,40.80541,-73.93658,United States,US,False,strict,Private room,2005.0,$938 ,$188 ,1.0,54.0
30162,30162,17659809,Light Flooded Artist Loft in Brooklyn,83960948515,verified,Heather Nadine,Brooklyn,Bedford-Stuyvesant,40.69158,-73.95958,United States,US,False,moderate,Entire home/apt,2013.0,$846 ,$169 ,4.0,6.0
30163,30163,17660361,"Private Floor W/Private Entrance, Bath & Rooftop",86970752234,unconfirmed,Frederik,Brooklyn,Greenpoint,40.72291,-73.94781,United States,US,True,strict,Private room,2005.0,$418 ,$84 ,1.0,7.0
30164,30164,17660913,Perfect shared male room on Manhattan! II,80635387699,unconfirmed,Max,Manhattan,Lower East Side,40.70987,-73.98689,United States,US,False,moderate,Shared room,2011.0,$448 ,$90 ,14.0,0.0
30165,30165,17661466,Brooklyn Studio; Williamsburg to Manhattan - 10min,67258625707,verified,E...,Brooklyn,Williamsburg,40.71097,-73.9533,United States,US,False,moderate,Entire home/apt,2012.0,$668 ,$134 ,2.0,92.0
30166,30166,17662018,Cozy Brooklyn Heights Apartment!,36716873227,verified,Walter,Brooklyn,Brooklyn Heights,40.69061,-73.99264,United States,US,False,strict,Entire home/apt,2008.0,$301 ,$60 ,3.0,4.0
30167,30167,17662570,Little Italy Spacious Room,95811093111,verified,Topher,Manhattan,Little Italy,40.71913,-73.99835,United States,US,True,flexible,Private room,2014.0,$571 ,$114 ,2.0,45.0
30168,30168,17663122,"**Cozy room, good location, 20 mins to Manhattan",66546728506,verified,Svetlana,Brooklyn,Bath Beach,40.60434,-74.0169,United States,US,True,moderate,Private room,2010.0,$856 ,$171 ,4.0,36.0
30169,30169,17663675,Perfect Apartment in brand new building!,14496135288,verified,Houda,Manhattan,East Harlem,40.78785,-73.94249,United States,US,True,moderate,Entire home/apt,2016.0,$852 ,$170 ,4.0,8.0
30170,30170,17664227,Private cozy room in Brooklyn with laundry,69293789397,verified,Ilyas,Queens,Maspeth,40.71395,-73.91373,United States,US,True,strict,Private room,2010.0,$824 ,$165 ,1.0,72.0
30171,30171,17664779,Dope Apt,50522132669,verified,Jason,Brooklyn,Greenpoint,40.71859,-73.95284,United States,US,True,moderate,Entire home/apt,2012.0,$278 ,$56 ,90.0,0.0
30172,30172,17665332,2 Floor-Entire Detached House 30 Min to Manhattan,97592511571,verified,Li,Queens,Rego Park,40.73082,-73.86796,United States,US,False,strict,Entire home/apt,2003.0,"$1,108 ",$222 ,2.0,68.0
30173,30173,17665884,2 bedrooms flat near Central Park,1169122035,verified,Giampiero,Manhattan,Upper East Side,40.76646,-73.9676,United States,US,True,strict,Entire home/apt,2016.0,$733 ,$147 ,3.0,56.0
30174,30174,17666436,HABITACION EN BROOKLYN NEW YORK,97780158462,verified,Daniel,Brooklyn,Sunset Park,40.64555,-74.00995,United States,US,True,moderate,Private room,2011.0,$925 ,$185 ,2.0,0.0
30175,30175,17666989,"Beautiful 2-bed w private deck, steps from subway",98034174000,unconfirmed,Chelsea,Brooklyn,Bedford-Stuyvesant,40.67904,-73.94191,United States,US,False,flexible,Entire home/apt,2005.0,$381 ,$76 ,2.0,3.0
30176,30176,17667541,Quarto Bronx (NY),3413336588,verified,Alvina Da Silva,Bronx,Fordham,40.86918,-73.8905,United States,US,True,moderate,Private room,2004.0,"$1,060 ",$212 ,1.0,2.0
30177,30177,17668093,Your stylish home in Park Slope,8071219918,verified,Liberty,Brooklyn,South Slope,40.66459,-73.98553,United States,US,False,flexible,Entire home/apt,2017.0,$963 ,$193 ,2.0,6.0
30178,30178,17668645,Room 1 - Lots of Space in Historic Victorian Home,4712530115,verified,Elizabeth,Brooklyn,Flatbush,40.64397,-73.96907,United States,US,False,flexible,Private room,2014.0,$514 ,$103 ,2.0,64.0
30179,30179,17669198,Manhattan Club 1 Bedroom (Sleeps 4 adults),38496390905,unconfirmed,Sujatha,Manhattan,Midtown,40.76422,-73.98188,United States,US,False,strict,Private room,2007.0,$965 ,$193 ,1.0,0.0
30180,30180,17669750,"Great place for 8, 30 min to Manhattan",27996805539,unconfirmed,Alexander M,Brooklyn,Bensonhurst,40.60859,-73.99331,United States,US,False,flexible,Entire home/apt,2009.0,$752 ,$150 ,30.0,19.0
30181,30181,17670302,Hamilton Heights home,8291840292,verified,Jill,Manhattan,Harlem,40.82521,-73.94159,United States,US,True,moderate,Entire home/apt,2004.0,$911 ,$182 ,2.0,2.0
